probe,F,symbol,known
11757845_s_at,8.47481759153667,ENDOD1,False
11723239_a_at,8.469755511607064,GNG7,False
11732301_at,8.466523901059594,IL23A,False
11739672_x_at,8.456328768707172,ZNF253,False
11716703_a_at,8.454446562163087,PRKACB,False
11758436_s_at,8.453225862768466,SEC62,False
11743609_a_at,8.442277059405546,FAM3C,False
11722304_a_at,8.433624911968293,LRRFIP1,False
11757419_a_at,8.432747193908952,UXT,False
11754925_a_at,8.43219340299482,SYK,False
11728421_a_at,8.420212484816247,PLA2G7,False
11728184_a_at,8.40593194932369,PLEKHA7,False
11759543_at,8.405556427793345,PRMT2,False
11745503_x_at,8.395032608860483,TSPO,False
11732294_a_at,8.383322926462608,ZNF566,False
11744593_x_at,8.382465937629712,GRASP,False
11731744_a_at,8.37659930437721,TRDMT1,False
11721547_s_at,8.37442307389305,ZEB1,False
11725714_a_at,8.371822116437976,RPS14,False
11760084_x_at,8.367686794969368,LOC254896,False
11728976_at,8.367437627513707,ZNF792,False
11756661_a_at,8.35492845296391,DARS,False
11719051_a_at,8.347540040481354,CEP350,False
11763195_at,8.342837671416767,ARAF,False
11745980_a_at,8.340368526134558,DIMT1,False
11719669_a_at,8.338497264583516,SMYD5,False
11758172_s_at,8.333539716833647,SLCO3A1,False
11721343_a_at,8.33161375424542,NCOA1,False
11748017_a_at,8.33101385092349,PECR,False
11726377_at,8.327128433896638,FAM50B,False
11761838_at,8.32070242965096,AFF1,False
11756371_a_at,8.308678567733201,VSIG4,False
11717310_a_at,8.307523168093734,GNL3,False
11733935_a_at,8.307311950764726,GEMIN4,False
11755325_s_at,8.303327001639982,NPTX1,False
11721195_s_at,8.301897385594334,RRP1B,False
11753996_x_at,8.296938982348031,HSPE1,False
11722174_a_at,8.291877878840749,UQCC1,False
11755542_a_at,8.286409922803754,ZNF671,False
11722465_a_at,8.285142942988118,C17orf80,False
11737408_a_at,8.273724892044976,TIRAP,False
11726690_a_at,8.265160597091436,STAT1,False
11732627_at,8.263937147172035,NEMP2,False
11726590_at,8.257464588372468,ELOVL4,False
11734830_a_at,8.256922374382134,SUV39H2,False
11724133_s_at,8.24910842631366,SLC12A2,False
11763640_x_at,8.248651066437498,IGKV1-39,False
11730958_a_at,8.245351857627409,CHCHD4,False
11760107_a_at,8.238431146214982,PHF10,False
11744495_a_at,8.238352132039052,IFT46,False
11721665_a_at,8.238168984805492,PLA2G16,False
11730474_at,8.23513703981281,PDE3B,False
11760535_at,8.220425441397625,VNN3,False
11762529_at,8.218536245672874,FERMT1,False
11724883_a_at,8.217762465413415,HAPLN3,False
11734550_x_at,8.216091008462827,TGFBI,False
11739410_x_at,8.215990473062295,KMT2C,False
11753997_a_at,8.210828231194968,RLTPR,False
11757186_a_at,8.20810930787514,HK3,False
11758354_s_at,8.20218982710625,RNPC3,False
11725602_at,8.201700798250908,DENND5B,False
11754445_a_at,8.200051171210928,C12orf29,False
11759541_at,8.194765347208415,RPL35A,False
11758911_at,8.19361677947696,DYRK2,False
11738247_a_at,8.192523767092547,TNNT1,False
11763326_s_at,8.190027659941476,FER,False
11761067_at,8.187622053886223,TALDO1,False
11724815_at,8.175965136109314,MED13L,False
11760529_x_at,8.166490241913705,RDM1,False
11737103_s_at,8.160796759059819,GDAP2,False
11744462_x_at,8.15969664927404,PCID2,False
11758508_s_at,8.149178553878116,ZNF548,False
11717652_s_at,8.14880264669771,SPRY1,False
11716753_x_at,8.147370828927514,GNS,False
11722226_s_at,8.146469182165193,SDHAF3,False
11733869_a_at,8.139932533209524,HLA-DOA,False
11715462_x_at,8.137589666717737,LYZ,False
11750033_a_at,8.135297604999922,ITGAX,False
11758907_at,8.130362914067959,ZNF827,False
11724777_at,8.127862771059727,PGM2L1,False
11733331_at,8.126225938657045,CCDC170,False
11757538_a_at,8.121946089337591,GOT1,False
11716163_s_at,8.117930416610843,CIAPIN1,False
11737078_a_at,8.114023885323123,CARD16,False
11754412_x_at,8.107054854246202,CLUAP1,False
11745782_x_at,8.103921702254501,ZNF540,False
11732630_a_at,8.101846832014179,ZNF765,False
11745122_a_at,8.080759693666167,FNIP1,False
11717963_a_at,8.076570303080691,KRAS,False
11718327_a_at,8.075839903553502,WWC3,False
11724683_a_at,8.070024325968188,CD300A,False
11730845_a_at,8.0690035704595,PIK3R3,False
11718064_a_at,8.056287473547933,S100A4,False
11763336_at,8.055425918077322,DKFZP586I1420,False
11734680_a_at,8.05459622323893,ATG4B,False
11758345_x_at,8.053990689037919,CCL3P1,False
11719717_x_at,8.044558422009318,PPP1R14B,False
11763382_a_at,8.041007711272682,NUMB,False
11747842_a_at,8.04010735231185,MXRA8,False
